"Timestamp","Seleccione su sexo","Seleccione su rango de edad","Seleccione su condición de empleo","Seleccione el rango que mejor se acerque a su ingreso anual","Seleccione ciudad donde reside","Seleccione ciudad donde trabaja","Seleccione su posición actual","Provea el título de su rol actual (opcional)","Empresa para la que trabaja (opcional)","Nivel de experiencia en su rol actual","Seleccione las industrias donde ejerce su rol actualmente","Seleccione el rango que mejor se acerque al tiempo que lleva trabajando en la industria seleccionada","Comentarios"
"2022/04/21 6:49:20 AM AST","Hombre","31 a 40 años","Empleado","81,000 a 90,000","Gurabo","San Juan","Software Engineer","","","Senior","Financial Services;Healthcare","más de 10 años",""
"2022/04/21 7:07:18 AM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","San Juan","Software Engineer","","TransPerfect","Intermedio","","5 a 7 años",""
"2022/04/21 7:54:11 AM AST","Hombre","26 a 30 años","Empleado","61,000 a 70,000","Bayamón","San Juan","Business Intelligence Analyst","","","Senior","Healthcare","5 a 7 años",""
"2022/04/21 8:29:47 AM AST","Hombre","41 a 50 años","Empleado","61,000 a 70,000","Caguas","Caguas","Developer/Programmer Analyst","Applications and Database Developer","MCRX","Senior","Healthcare;Pharmaceutical;Services","más de 10 años",""
"2022/04/21 8:57:33 AM AST","Hombre","26 a 30 años","Empleado","121,000 a 140,000","San Juan","San Juan","Software Engineer","","","Senior","Professional Services;Technology","7 a 10 años",""
"2022/04/21 9:17:17 AM AST","Hombre","18 a 25 años","Empleado","41,000 a 50,000","Bayamón","Guaynabo","Data Analyst/Report Writer","","","Intermedio","Financial Services;Healthcare","2 a 5 años",""
"2022/04/21 9:23:34 AM AST","Mujer","41 a 50 años","Empleado","61,000 a 70,000","Río Grande","San Juan","Business Systems Analyst","","","Senior","Healthcare;Professional Services;Technology","más de 10 años",""
"2022/04/21 10:01:03 AM AST","Hombre","26 a 30 años","Empleado","41,000 a 50,000","Bayamón","Remoto (local)","Software Engineer","","","Intermedio","Professional Services;Services","2 a 5 años",""
"2022/04/21 12:47:01 PM AST","Hombre","31 a 40 años","Empleado","101,000 a 120,000","San Juan","Remoto (local)","Software Engineer","","","Senior","Technology","7 a 10 años",""
"2022/04/21 2:26:48 PM AST","Hombre","26 a 30 años","Empleado","31,000 a 40,000","Caguas","San Juan","Software Developer","Analyst II","Next Level Solutions","Junior","Services","0 a 2 años",""
"2022/04/21 8:34:54 PM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","Guaynabo","Software Developer","","","Senior","Healthcare;Technology","7 a 10 años",""
"2022/04/21 8:57:18 PM AST","Hombre","31 a 40 años","Empleado","101,000 a 120,000","Guaynabo","Remoto (fuera de Puerto Rico)","Big Data Engineer","Data Engineer","","Senior","Technology","más de 10 años",""
"2022/04/21 9:20:16 PM AST","Hombre","41 a 50 años","Empleado","91,000 a 100,000","San Juan","Aguadilla","Software Engineer","","","Senior","Technology","5 a 7 años",""
"2022/04/22 2:52:35 AM AST","Hombre","26 a 30 años","Empleado","121,000 a 140,000","San Juan","Remoto (fuera de Puerto Rico)","Software Engineer","","","Junior","Technology","0 a 2 años",""
"2022/04/22 7:23:56 AM AST","Hombre","51 a 65 años","Empleado","101,000 a 120,000","San Juan","San Juan","Networking/Telecommunications","","","Senior","Financial Services;Healthcare;Professional Services;Technology","más de 10 años",""
"2022/04/22 9:42:09 AM AST","Mujer","31 a 40 años","Empleado","51,000 a 60,000","Aguadilla","Aguadilla","Software Engineer","","Hewlett-Packard Enterprise","Senior","Manufacturing;Technology","5 a 7 años",""
"2022/04/22 10:52:30 AM AST","Hombre","31 a 40 años","Empleado","71,000 a 80,000","Guaynabo","Guaynabo","Applications Development","","","Senior","Services","7 a 10 años",""
"2022/04/22 3:37:53 PM AST","Hombre","26 a 30 años","Empleado","71,000 a 80,000","Guaynabo","Remoto (local)","Engineer","Full Stack Engineer","","Intermedio","Services;Technology","0 a 2 años",""
"2022/04/22 3:59:07 PM AST","Hombre","26 a 30 años","Empleado","71,000 a 80,000","Bayamón","San Juan","Software Developer","Software expert","","Senior","Technology","5 a 7 años",""
"2022/04/23 6:23:20 AM AST","Hombre","51 a 65 años","Dueño de negocio","0 a 20,000","Peñuelas","Peñuelas","Computer Operator","Support","","Intermedio","Healthcare;Nonprofit;Technology","2 a 5 años",""
"2022/04/23 12:28:28 PM AST","Hombre","41 a 50 años","Contratista","51,000 a 60,000","San Juan","San Juan","Business Intelligence Analyst","BI INTELLIGENCE","STK","Senior","Technology","2 a 5 años",""
"2022/04/23 6:48:28 PM AST","Hombre","18 a 25 años","Empleado","20,000 a 30,000","Bayamón","Bayamón","Software Development","","","Intermedio","Financial Services;Technology","2 a 5 años",""
"2022/04/24 2:01:13 AM AST","Hombre","18 a 25 años","Empleado","20,000 a 30,000","San Juan","San Juan","Help Desk Tier 3","Tech Support III","","Intermedio","Financial Services;Healthcare;Services;Technology","0 a 2 años",""
"2022/04/24 12:32:31 PM AST","Hombre","51 a 65 años","Empleado","160,000+","Rincón","Remoto (fuera de Puerto Rico)","Chief Technology Officer (CTO)","","","Ejecutivo","Technology","más de 10 años",""
"2022/04/25 10:25:24 PM AST","Hombre","26 a 30 años","Empleado","51,000 a 60,000","San Juan","San Juan","Software Engineer","","","Senior","Services;Technology","2 a 5 años",""
"2022/04/25 11:57:30 PM AST","Hombre","41 a 50 años","Empleado","121,000 a 140,000","San Juan","Remoto (fuera de Puerto Rico)","Applications Architect","Principal Architect","","Senior","Pharmaceutical","más de 10 años",""
"2022/04/27 4:47:46 PM AST","Hombre","31 a 40 años","Empleado","51,000 a 60,000","Guaynabo","Guaynabo","Security","Cybersecurity Engineer","","Intermedio","Technology","7 a 10 años",""
