Timestamp,"¿Puerto Rico, EE.UU. u otro?",Area especializada de programación,¿En que estado labora actualmente?,¿En que pueblo labora actualmente?,¿Freelancer o empleado?,Trabaja usted...,Paga Anual,Beneficios,¿Recibes compensación basada en el desempeño de la compañia?,¿Recibes bono por desempeño?,Desarrollo de Software,Desarrollador de Aplicaciones,Desarrollo Web,Servicios Técnicos / Help Desk / Support,Seguridad,Consultaría e Integración de Sistemas,Administrador de Bases de Datos,Quality Assurance y Testing,Networking / Telecomunicaciones,Administración,Other...
1/18/2017 12:38:43,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina / Remoto,35 - 50k,,No,No,Software Developer,Lead Applications Developer,Web Developer,,,,,,,,
1/18/2017 12:40:24,EE.UU.,Front-end,California,,Empleado,Remoto,120 - 160k,"Plan Dental, Plan Médico, Plan de retiro",Stocks,Si,Software Engineer,,Front-End Web Developer,,,,,,,,
1/18/2017 12:41:36,Puerto Rico,Las primeras dos,,Guaynabo,Empleado,Oficina,50 - 65k,"Plan Médico, Plan de retiro",Profit Sharing,Si,Software Developer,Lead Applications Developer,Senior Web Developer,Manager,,,Database Developer,,,,
1/18/2017 13:06:55,Puerto Rico,Back-end,,Guaynabo,Empleado,Oficina / Remoto,15 - 25k,Palmada en la espalda,No,No,Software Developer,Mobile Applications Developer,Web Administrator,Help Desk Tier,Information Systems Security Manager,IT Auditor,Database Developer,QA/Testing Manager,Network Administrator,Information Technology Manager,
1/18/2017 13:11:19,Puerto Rico,Manager,,San Juan,Consultant,Oficina / Remoto,65 - 90k,,No,No,Product Manager,Project Manager,,,,,,,,,
1/18/2017 13:33:15,Puerto Rico,Back-end,,San Juan,Empleado,Remoto,120 - 160k,,Stocks,Si,Software Engineer,,,,,,,,,,SRE
1/18/2017 13:39:04,Puerto Rico,Manager,,Guaynabo,Empleado,Oficina / Remoto,50 - 65k,"Plan Dental, Plan Médico",STIP,Si,Product Manager,Manager,E-Commerce Analyst,Manager,Information Systems Security Manager,Staff Consultant,,,Telecommunications Manager,,
1/18/2017 13:40:37,EE.UU.,Back-end,California,,Empleado,Oficina,120 - 160k,"Plan Dental, Plan Médico, Plan de retiro",Stocks,No,Software Engineer,Project Manager,,,,,,,,,
1/18/2017 14:26:34,EE.UU.,Back-end,New York,,Empleado,Oficina / Remoto,120 - 160k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",Stocks,No,Software Engineer,,Senior Web Developer,,,,,,,,
1/18/2017 14:29:33,Puerto Rico,Front-end,,Mayagüez,Empleado,Remoto,65 - 90k,"Plan Dental, Plan Médico, Gym, 1 conferencia anual, $1500 para educación continua",Stocks,No,Software Engineer,,Front-End Web Developer,,,,,,,,
1/18/2017 14:30:04,EE.UU.,Ninguna,Texas,,Empleado,Oficina / Remoto,90 - 120k,"Plan Dental, Plan Médico, Gym, Plan de retiro",Stocks,Si,,,,,,,,,,,Network Application Engineer in Semiconductors 
1/18/2017 14:39:49,Puerto Rico,Back-end,,Mayagüez,Estudiante,Oficina / Remoto,<10k,,No,No,Software Developer,ERP Technical Developer,Web Developer,PC Technician,Information Systems Security Manager,Practice Manager,Database Developer,QA Engineer – Automated,Network Manager,Information Technology Manager,
1/18/2017 14:42:38,Puerto Rico,Las primeras dos,,Toa Baja,Empleada temporal,Oficina / Remoto,<10k,Ninguno,No,No,Software Developer,Developer/Programmer Analyst,Web Developer,PC Technician,Data Security Analyst,Staff Consultant,Database Developer,QA/Testing Manager,Network Manager,Information Technology Manager,
1/18/2017 15:25:28,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico",No,Si,Software Developer,Mobile Applications Developer,Web Developer,Desktop Support Analyst,Information Systems Security Manager,Staff Consultant,Database Developer,QA Engineer – Manual,Network Architect,Director of Technology,
1/18/2017 16:17:06,EE.UU.,Todas,California,,Empleado,Oficina,High Roller,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",Stocks,Si,Product Manager,Mobile Applications Developer,Front-End Web Developer,Manager,,,,,,,
1/18/2017 17:07:56,Puerto Rico,Back-end,,San Juan,CTO,Oficina / Remoto,65 - 90k,,No,No,Software Engineer,,,,,,,,,Chief Technology Officer (CTO),
1/18/2017 20:38:15,EE.UU.,Las primeras dos,Florida,,Empleado,Oficina / Remoto,50 - 65k,"Plan Dental, Plan Médico, Gym, Plan de retiro",No,No,Software Developer,Applications Architect,Senior Web Developer,,,,Database Developer,,,,
1/18/2017 21:10:28,Puerto Rico,Todas,,San Juan,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",No,Si,Software Developer,Developer/Programmer Analyst,Web Designer,Business Continuity Analyst,,,Business Intelligence Analyst,,,,
1/19/2017 0:25:10,Puerto Rico,Las primeras dos,,Aguadilla,Empleado,Oficina,35 - 50k,"Plan Dental, Plan Médico, Plan de retiro",No,No,Software Engineer,Developer/Programmer Analyst,Web Developer,Systems Engineer,,,,,,,
1/19/2017 8:50:21,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina,50 - 65k,"Plan Médico, Equipo Ergonómico, Plan de retiro",No,No,,Systems Analyst,,Help Desk Tier,,,,,,,Production support specialist 
1/19/2017 9:00:54,Puerto Rico,Front-end,,Bayamón,Estudiante,On-site (localidad del cliente),15 - 25k,,No,No,Software Developer,,Web Developer,,,,,,,,
1/19/2017 15:26:57,Puerto Rico,Back-end,,Caguas,Empleado,Oficina / Remoto,50 - 65k,Plan Médico,No,Si,Software Developer,,,,,,,,,,
1/20/2017 6:44:21,Puerto Rico,Las primeras dos,,San Juan,Empleado,Remoto,35 - 50k,,No,No,Software Developer,,,,,,,,,,
1/20/2017 10:02:27,Puerto Rico,Las primeras dos,,Aguadilla,Empleado,Oficina / Remoto,50 - 65k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",Stocks,Si,Software Engineer,,,,,,,,,,Full Stack
1/20/2017 18:47:43,Puerto Rico,Diseño,,Ponce,Empleado,Oficina,25 - 35k,Plan Médico,No,No,Software Developer,Technical Writer,Web Designer,Systems Administrator,Network Security Administrator,Practice Manager,Database Developer,QA Associate/Analyst,Network Administrator,Information Technology Manager,
1/21/2017 8:20:23,Puerto Rico,Diseño,,San Juan,Empleado,Oficina,35 - 50k,Plan Médico,No,Si,,,Web Developer,,Systems Security Administrator,,,,,,
1/21/2017 11:22:06,Puerto Rico,Las primeras dos,,Guaynabo,Empleado,Oficina,35 - 50k,"Plan Médico, Plan de retiro, Data plan",No,Si,Software Developer,Mobile Applications Developer,Web Developer,,,,,,,,
1/21/2017 11:41:56,Puerto Rico,Ninguna,,Guánica,Empleado,Oficina / Remoto,<10k,,No,No,Software Engineer,Developer/Programmer Analyst,Web Developer,Systems Engineer,Network Security Administrator,Staff Consultant,Data Analyst/Report Writer,QA Engineer – Automated,Network Manager,Director of Technology,
1/21/2017 16:53:56,Puerto Rico,Manager,,San Juan,Empleado,Oficina / Remoto,65 - 90k,"Plan Dental, Plan Médico",No,Si,,Project Manager,,,,Project Manager/Senior Consultant,,,,,
1/23/2017 4:38:17,Puerto Rico,Ninguna,,San Juan,Empleado,On call,<10k,Nada,No,No,,,,,,,,,,,
1/23/2017 12:01:08,Puerto Rico,Las primeras dos,,San Juan,Empleado,Remoto,65 - 90k,,No,No,Software Developer,Developer/Programmer Analyst,Senior Web Developer,Systems Engineer,,,,,,,
1/23/2017 17:07:33,Puerto Rico,Las primeras dos,,San Juan,Empleado,On-site (localidad del cliente),35 - 50k,Plan Médico,No,Si,Software Developer,,,,,,,,,,
1/23/2017 17:15:06,Puerto Rico,Todas,,San Juan,Estudiante,Oficina,<10k,,No,No,Software Developer,,,,,,,,,,
1/23/2017 18:00:59,Puerto Rico,Front-end,,Carolina,Estudiante,Remoto,<10k,,Stocks,No,Software Developer,,Front-End Web Developer,,,,Data Scientist,,,,
1/23/2017 18:03:28,Puerto Rico,Las primeras dos,,Aguadilla,Empleado,Oficina / Remoto,50 - 65k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",No,No,Software Engineer,Developer/Programmer Analyst,Web Developer,,,,,,,,
1/23/2017 18:32:29,Puerto Rico,Front-end,,San Juan,Estudiante,Remoto,<10k,,No,No,Software Developer,Mobile Applications Developer,,,,,,,,,
1/23/2017 19:39:58,Puerto Rico,Todas,,Aguadilla,Empleado,"Mayormente en la oficina, pero con viajes (4 meses+) extendidos onsite",65 - 90k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",Stocks,Bonos si eres nominados y fondos en el proyecto,Software Engineer,Technical Writer,,,,,,,,,
1/23/2017 19:45:37,EE.UU.,Todas,Oklahoma,,Freelancer,Oficina / Remoto,High Roller,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",No,No,Software Engineer,Mobile Applications Developer,Front-End Web Developer,,,,,,,,
1/23/2017 19:46:46,Puerto Rico,Las primeras dos,,Manatí,Empleado,On-site (localidad del cliente),15 - 25k,"Plan Dental, Plan Médico, Gym, Plan de retiro, Seguro de Vida",Profit Sharing,No,Product Manager,,,,,,,,,,Manufacturing Operator
1/23/2017 23:09:59,EE.UU.,Todas,District of Columbia,,Empleado,Oficina / Remoto,65 - 90k,"Plan Dental, Plan Médico, Gym, Plan de retiro",No,Si,Software Developer,Developer/Programmer Analyst,Web Developer,Systems Administrator,Systems Security Administrator,Staff Consultant,Database Developer,QA Associate/Analyst,,,
1/24/2017 12:36:11,Puerto Rico,Back-end,,San Juan,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico, Plan de retiro",No,No,Software Developer,Manager,,Systems Administrator,Systems Security Administrator,,Database Developer,,,Information Technology Manager,
1/24/2017 13:06:47,Puerto Rico,Ninguna,,Caguas,Empleado,Oficina,10 - 15k,,No,Si,,,,,,,,,Telecommunications Specialist,,
1/24/2017 14:06:21,Puerto Rico,Manager,,Guaynabo,Empleado,Oficina / Remoto,65 - 90k,"Plan Dental, Plan Médico, Equipo Ergonómico",No,No,Product Manager,Manager,,Manager,Information Systems Security Manager,Project Manager/Senior Consultant,Data Warehouse Manager,QA/Testing Manager,Network Administrator,Chief Information Officer (CIO),
1/24/2017 18:17:29,Puerto Rico,Front-end,,Cataño,Freelancer,Oficina / Remoto,15 - 25k,,No,No,,,Web Developer,,,,,,,,
1/24/2017 19:25:19,Puerto Rico,Ninguna,,Bayamón,Estudiante,Oficina,<10k,,No,No,,,Web Administrator,Help Desk Tier,Network Security Engineer,Project Manager/Senior Consultant,Electronic Data Interchange,QA/Testing Manager,Pre-Sales Engineer/Technical Engineer,Chief Information Officer (CIO),
1/24/2017 22:30:12,Puerto Rico,Todas,,San Juan,Empleado,Oficina / Remoto,65 - 90k,"Plan Dental, Plan Médico, Plan de retiro",No,Si,Software Engineer,Systems Analyst,Senior Web Developer,Systems Administrator,Systems Security Administrator,Project Manager/Senior Consultant,Database Developer,QA Associate/Analyst,Network Administrator,,
1/25/2017 7:49:46,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina,50 - 65k,"Plan Dental, Plan Médico, Plan de retiro, uniforme, estacionamiento, bono",No,Si,Software Developer,Developer/Programmer Analyst,Front-End Web Developer,,,,,,,,
1/27/2017 5:03:28,Puerto Rico,Manager,,San Juan,Freelancer,Oficina / Remoto,65 - 90k,,No,No,,Project Manager,,,,Project Manager/Senior Consultant,,,,,
1/27/2017 9:08:37,Puerto Rico,Todas,,San Juan,Empleado,Oficina,15 - 25k,,No,No,,Lead Applications Developer,Web Developer,PC Technician,,,Database Developer,,,,Programadora en call center
1/27/2017 15:11:49,EE.UU.,Ninguna,New York,,Empleado,Oficina / Remoto,90 - 120k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro, Plan de vision",No,Si,,Business Systems Analyst,E-Commerce Analyst,Business Continuity Analyst,Data Security Analyst,IT Auditor,,QA Associate/Analyst,,,
1/27/2017 21:20:31,Puerto Rico,Todas,,Humacao,Freelancer,Oficina / Remoto,35 - 50k,,No,No,Software Engineer,Developer/Programmer Analyst,Senior Web Developer,Systems Administrator,Systems Security Administrator,Project Manager/Senior Consultant,Database Developer,QA Engineer – Manual,Network Manager,Chief Information Officer (CIO),
1/28/2017 8:13:57,Puerto Rico,Todas,,Guaynabo,Empleado,Oficina,35 - 50k,"Plan Dental, Plan Médico",No,No,Software Developer,Systems Analyst,Senior Web Developer,,,,Database Developer,,,,
1/30/2017 11:02:15,Puerto Rico,Front-end,,Mayagüez,Freelancer,Oficina / Remoto,<10k,,No,No,Software Developer,,Front-End Web Developer,,,,,,,,
1/30/2017 13:08:33,Puerto Rico,Las primeras dos,,Guaynabo,Empleado,On-site (localidad del cliente),50 - 65k,"Plan Médico, Plan de retiro",No,No,,,,,,Project Manager/Senior Consultant,,,,,
1/30/2017 13:25:34,Puerto Rico,Manager,,Bayamón,Empleado/Freelancer,Oficina / Remoto,65 - 90k,"Plan Dental, Plan Médico, Equipo Ergonómico, Plan de retiro, Prfessional Education",No,No,,Manager,,Manager,Information Systems Security Manager,Project Manager/Senior Consultant,,,,Chief Information Officer (CIO),
1/30/2017 13:36:54,Puerto Rico,Las primeras dos,,Guaynabo,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico",No,No,Software Developer,Mobile Applications Developer,,,,,,,,,
1/30/2017 14:26:55,Puerto Rico,Todas,,San Juan,Empleado,Oficina / Remoto,35 - 50k,Plan Médico,No,Si,Software Engineer,Developer/Programmer Analyst,Web Developer,Systems Engineer,,,Database Developer,,,,
1/30/2017 14:33:38,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina / Remoto,25 - 35k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro, Cellphone",No,Si,Software Developer,Developer/Programmer Analyst,Web Developer,,,,Database Developer,QA Engineer – Manual,,,
1/30/2017 14:40:01,Puerto Rico,Ninguna,,Gurabo,Empleado,Oficina / Remoto,35 - 50k,,No,No,,,,Systems Administrator,,,,,Network Administrator,,
1/30/2017 17:32:05,Puerto Rico,Manager,,San Juan,Empleado,Oficina / Remoto,50 - 65k,"Plan Dental, Plan Médico",No,Si,Software Engineer,CRM Business Analyst,Senior Web Developer,Manager,Systems Security Administrator,Senior IT Auditor,Database Manager,QA Engineer – Automated,Network Manager,Chief Information Officer (CIO),
1/30/2017 18:13:22,Puerto Rico,Todas,,Isabela,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico, Equipo Ergonómico, Plan de retiro",No,Si,Software Engineer,Developer/Programmer Analyst,Web Developer,Systems Engineer,,,,,,,
1/30/2017 22:54:08,Puerto Rico,Manager,,San Juan,Empleado,Oficina,50 - 65k,"Plan Dental, Plan Médico",No,No,Software Developer,Manager,Senior Web Developer,,,,Database Developer,,,,
1/31/2017 9:27:26,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina,50 - 65k,"Plan Dental, Plan Médico, Plan de retiro",No,No,Software Developer,Developer/Programmer Analyst,Web Developer,,,,,,,,
1/31/2017 10:01:07,Puerto Rico,Ninguna,,Carolina,Empleado,Oficina,25 - 35k,Plan Médico,No,No,,,,,,,,,Pre-Sales Engineer/Technical Engineer,,
